,Movie Name,Rating
0,The Shawshank Redemption,9.3
1,The Godfather,9.2
2,The Dark Knight,9.0
3,Schindler's List,9.0
4,12 Angry Men,9.0
5,The Lord of the Rings: The Return of the King,9.0
6,The Godfather Part II,9.0
7,Pulp Fiction,8.9
8,The Lord of the Rings: The Fellowship of the Ring,8.9
9,Inception,8.8
10,Fight Club,8.8
11,Forrest Gump,8.8
12,"The Good, the Bad and the Ugly",8.8
13,The Lord of the Rings: The Two Towers,8.8
14,12th Fail,8.8
15,Interstellar,8.7
16,The Matrix,8.7
17,Goodfellas,8.7
18,One Flew Over the Cuckoo's Nest,8.7
19,Star Wars: Episode V - The Empire Strikes Back,8.7
20,Jai Bhim,8.7
21,777 Charlie,8.7
22,Soorarai Pottru,8.7
23,Se7en,8.6
24,The Silence of the Lambs,8.6
25,The Shawshank Redemption,9.3
26,The Godfather,9.2
27,The Dark Knight,9.0
28,Schindler's List,9.0
29,12 Angry Men,9.0
30,The Lord of the Rings: The Return of the King,9.0
31,The Godfather Part II,9.0
32,Pulp Fiction,8.9
33,The Lord of the Rings: The Fellowship of the Ring,8.9
34,Inception,8.8
35,Fight Club,8.8
36,Forrest Gump,8.8
37,"The Good, the Bad and the Ugly",8.8
38,The Lord of the Rings: The Two Towers,8.8
39,12th Fail,8.8
40,Interstellar,8.7
41,The Matrix,8.7
42,Goodfellas,8.7
43,One Flew Over the Cuckoo's Nest,8.7
44,Star Wars: Episode V - The Empire Strikes Back,8.7
45,Jai Bhim,8.7
46,777 Charlie,8.7
47,Soorarai Pottru,8.7
48,Se7en,8.6
49,The Silence of the Lambs,8.6
50,The Shawshank Redemption,9.3
51,The Godfather,9.2
52,The Dark Knight,9.0
53,Schindler's List,9.0
54,12 Angry Men,9.0
55,The Lord of the Rings: The Return of the King,9.0
56,The Godfather Part II,9.0
57,Pulp Fiction,8.9
58,The Lord of the Rings: The Fellowship of the Ring,8.9
59,Inception,8.8
60,Fight Club,8.8
61,Forrest Gump,8.8
62,"The Good, the Bad and the Ugly",8.8
63,The Lord of the Rings: The Two Towers,8.8
64,12th Fail,8.8
65,Interstellar,8.7
66,The Matrix,8.7
67,Goodfellas,8.7
68,One Flew Over the Cuckoo's Nest,8.7
69,Star Wars: Episode V - The Empire Strikes Back,8.7
70,Jai Bhim,8.7
71,777 Charlie,8.7
72,Soorarai Pottru,8.7
73,Se7en,8.6
74,The Silence of the Lambs,8.6
75,The Shawshank Redemption,9.3
76,The Godfather,9.2
77,The Dark Knight,9.0
78,Schindler's List,9.0
79,12 Angry Men,9.0
80,The Lord of the Rings: The Return of the King,9.0
81,The Godfather Part II,9.0
82,Pulp Fiction,8.9
83,The Lord of the Rings: The Fellowship of the Ring,8.9
84,Inception,8.8
85,Fight Club,8.8
86,Forrest Gump,8.8
87,"The Good, the Bad and the Ugly",8.8
88,The Lord of the Rings: The Two Towers,8.8
89,12th Fail,8.8
90,Interstellar,8.7
91,The Matrix,8.7
92,Goodfellas,8.7
93,One Flew Over the Cuckoo's Nest,8.7
94,Star Wars: Episode V - The Empire Strikes Back,8.7
95,Jai Bhim,8.7
96,777 Charlie,8.7
97,Soorarai Pottru,8.7
98,Se7en,8.6
99,The Silence of the Lambs,8.6
100,The Shawshank Redemption,9.3
101,The Godfather,9.2
102,The Dark Knight,9.0
103,Schindler's List,9.0
104,12 Angry Men,9.0
105,The Lord of the Rings: The Return of the King,9.0
106,The Godfather Part II,9.0
107,Pulp Fiction,8.9
108,The Lord of the Rings: The Fellowship of the Ring,8.9
109,Inception,8.8
110,Fight Club,8.8
111,Forrest Gump,8.8
112,"The Good, the Bad and the Ugly",8.8
113,The Lord of the Rings: The Two Towers,8.8
114,12th Fail,8.8
115,Interstellar,8.7
116,The Matrix,8.7
117,Goodfellas,8.7
118,One Flew Over the Cuckoo's Nest,8.7
119,Star Wars: Episode V - The Empire Strikes Back,8.7
120,Jai Bhim,8.7
121,777 Charlie,8.7
122,Soorarai Pottru,8.7
123,Se7en,8.6
124,The Silence of the Lambs,8.6
125,The Shawshank Redemption,9.3
126,The Godfather,9.2
127,The Dark Knight,9.0
128,Schindler's List,9.0
129,12 Angry Men,9.0
130,The Lord of the Rings: The Return of the King,9.0
131,The Godfather Part II,9.0
132,Pulp Fiction,8.9
133,The Lord of the Rings: The Fellowship of the Ring,8.9
134,Inception,8.8
135,Fight Club,8.8
136,Forrest Gump,8.8
137,"The Good, the Bad and the Ugly",8.8
138,The Lord of the Rings: The Two Towers,8.8
139,12th Fail,8.8
140,Interstellar,8.7
141,The Matrix,8.7
142,Goodfellas,8.7
143,One Flew Over the Cuckoo's Nest,8.7
144,Star Wars: Episode V - The Empire Strikes Back,8.7
145,Jai Bhim,8.7
146,777 Charlie,8.7
147,Soorarai Pottru,8.7
148,Se7en,8.6
149,The Silence of the Lambs,8.6
150,The Shawshank Redemption,9.3
151,The Godfather,9.2
152,The Dark Knight,9.0
153,Schindler's List,9.0
154,12 Angry Men,9.0
155,The Lord of the Rings: The Return of the King,9.0
156,The Godfather Part II,9.0
157,Pulp Fiction,8.9
158,The Lord of the Rings: The Fellowship of the Ring,8.9
159,Inception,8.8
160,Fight Club,8.8
161,Forrest Gump,8.8
162,"The Good, the Bad and the Ugly",8.8
163,The Lord of the Rings: The Two Towers,8.8
164,12th Fail,8.8
165,Interstellar,8.7
166,The Matrix,8.7
167,Goodfellas,8.7
168,One Flew Over the Cuckoo's Nest,8.7
169,Star Wars: Episode V - The Empire Strikes Back,8.7
170,Jai Bhim,8.7
171,777 Charlie,8.7
172,Soorarai Pottru,8.7
173,Se7en,8.6
174,The Silence of the Lambs,8.6
175,The Shawshank Redemption,9.3
176,The Godfather,9.2
177,The Dark Knight,9.0
178,Schindler's List,9.0
179,12 Angry Men,9.0
180,The Lord of the Rings: The Return of the King,9.0
181,The Godfather Part II,9.0
182,Pulp Fiction,8.9
183,The Lord of the Rings: The Fellowship of the Ring,8.9
184,Inception,8.8
185,Fight Club,8.8
186,Forrest Gump,8.8
187,"The Good, the Bad and the Ugly",8.8
188,The Lord of the Rings: The Two Towers,8.8
189,12th Fail,8.8
190,Interstellar,8.7
191,The Matrix,8.7
192,Goodfellas,8.7
193,One Flew Over the Cuckoo's Nest,8.7
194,Star Wars: Episode V - The Empire Strikes Back,8.7
195,Jai Bhim,8.7
196,777 Charlie,8.7
197,Soorarai Pottru,8.7
198,Se7en,8.6
199,The Silence of the Lambs,8.6
200,The Shawshank Redemption,9.3
201,The Godfather,9.2
202,The Dark Knight,9.0
203,Schindler's List,9.0
204,12 Angry Men,9.0
205,The Lord of the Rings: The Return of the King,9.0
206,The Godfather Part II,9.0
207,Pulp Fiction,8.9
208,The Lord of the Rings: The Fellowship of the Ring,8.9
209,Inception,8.8
210,Fight Club,8.8
211,Forrest Gump,8.8
212,"The Good, the Bad and the Ugly",8.8
213,The Lord of the Rings: The Two Towers,8.8
214,12th Fail,8.8
215,Interstellar,8.7
216,The Matrix,8.7
217,Goodfellas,8.7
218,One Flew Over the Cuckoo's Nest,8.7
219,Star Wars: Episode V - The Empire Strikes Back,8.7
220,Jai Bhim,8.7
221,777 Charlie,8.7
222,Soorarai Pottru,8.7
223,Se7en,8.6
224,The Silence of the Lambs,8.6
225,The Shawshank Redemption,9.3
226,The Godfather,9.2
227,The Dark Knight,9.0
228,Schindler's List,9.0
229,12 Angry Men,9.0
230,The Lord of the Rings: The Return of the King,9.0
231,The Godfather Part II,9.0
232,Pulp Fiction,8.9
233,The Lord of the Rings: The Fellowship of the Ring,8.9
234,Inception,8.8
235,Fight Club,8.8
236,Forrest Gump,8.8
237,"The Good, the Bad and the Ugly",8.8
238,The Lord of the Rings: The Two Towers,8.8
239,12th Fail,8.8
240,Interstellar,8.7
241,The Matrix,8.7
242,Goodfellas,8.7
243,One Flew Over the Cuckoo's Nest,8.7
244,Star Wars: Episode V - The Empire Strikes Back,8.7
245,Jai Bhim,8.7
246,777 Charlie,8.7
247,Soorarai Pottru,8.7
248,Se7en,8.6
249,The Silence of the Lambs,8.6
250,The Shawshank Redemption,9.3
251,The Godfather,9.2
252,The Dark Knight,9.0
253,Schindler's List,9.0
254,12 Angry Men,9.0
255,The Lord of the Rings: The Return of the King,9.0
256,The Godfather Part II,9.0
257,Pulp Fiction,8.9
258,The Lord of the Rings: The Fellowship of the Ring,8.9
259,Inception,8.8
260,Fight Club,8.8
261,Forrest Gump,8.8
262,"The Good, the Bad and the Ugly",8.8
263,The Lord of the Rings: The Two Towers,8.8
264,12th Fail,8.8
265,Interstellar,8.7
266,The Matrix,8.7
267,Goodfellas,8.7
268,One Flew Over the Cuckoo's Nest,8.7
269,Star Wars: Episode V - The Empire Strikes Back,8.7
270,Jai Bhim,8.7
271,777 Charlie,8.7
272,Soorarai Pottru,8.7
273,Se7en,8.6
274,The Silence of the Lambs,8.6
275,The Shawshank Redemption,9.3
276,The Godfather,9.2
277,The Dark Knight,9.0
278,Schindler's List,9.0
279,12 Angry Men,9.0
280,The Lord of the Rings: The Return of the King,9.0
281,The Godfather Part II,9.0
282,Pulp Fiction,8.9
283,The Lord of the Rings: The Fellowship of the Ring,8.9
284,Inception,8.8
285,Fight Club,8.8
286,Forrest Gump,8.8
287,"The Good, the Bad and the Ugly",8.8
288,The Lord of the Rings: The Two Towers,8.8
289,12th Fail,8.8
290,Interstellar,8.7
291,The Matrix,8.7
292,Goodfellas,8.7
293,One Flew Over the Cuckoo's Nest,8.7
294,Star Wars: Episode V - The Empire Strikes Back,8.7
295,Jai Bhim,8.7
296,777 Charlie,8.7
297,Soorarai Pottru,8.7
298,Se7en,8.6
299,The Silence of the Lambs,8.6
300,The Shawshank Redemption,9.3
301,The Godfather,9.2
302,The Dark Knight,9.0
303,Schindler's List,9.0
304,12 Angry Men,9.0
305,The Lord of the Rings: The Return of the King,9.0
306,The Godfather Part II,9.0
307,Pulp Fiction,8.9
308,The Lord of the Rings: The Fellowship of the Ring,8.9
309,Inception,8.8
310,Fight Club,8.8
311,Forrest Gump,8.8
312,"The Good, the Bad and the Ugly",8.8
313,The Lord of the Rings: The Two Towers,8.8
314,12th Fail,8.8
315,Interstellar,8.7
316,The Matrix,8.7
317,Goodfellas,8.7
318,One Flew Over the Cuckoo's Nest,8.7
319,Star Wars: Episode V - The Empire Strikes Back,8.7
320,Jai Bhim,8.7
321,777 Charlie,8.7
322,Soorarai Pottru,8.7
323,Se7en,8.6
324,The Silence of the Lambs,8.6
325,The Shawshank Redemption,9.3
326,The Godfather,9.2
327,The Dark Knight,9.0
328,Schindler's List,9.0
329,12 Angry Men,9.0
330,The Lord of the Rings: The Return of the King,9.0
331,The Godfather Part II,9.0
332,Pulp Fiction,8.9
333,The Lord of the Rings: The Fellowship of the Ring,8.9
334,Inception,8.8
335,Fight Club,8.8
336,Forrest Gump,8.8
337,"The Good, the Bad and the Ugly",8.8
338,The Lord of the Rings: The Two Towers,8.8
339,12th Fail,8.8
340,Interstellar,8.7
341,The Matrix,8.7
342,Goodfellas,8.7
343,One Flew Over the Cuckoo's Nest,8.7
344,Star Wars: Episode V - The Empire Strikes Back,8.7
345,Jai Bhim,8.7
346,777 Charlie,8.7
347,Soorarai Pottru,8.7
348,Se7en,8.6
349,The Silence of the Lambs,8.6
350,The Shawshank Redemption,9.3
351,The Godfather,9.2
352,The Dark Knight,9.0
353,Schindler's List,9.0
354,12 Angry Men,9.0
355,The Lord of the Rings: The Return of the King,9.0
356,The Godfather Part II,9.0
357,Pulp Fiction,8.9
358,The Lord of the Rings: The Fellowship of the Ring,8.9
359,Inception,8.8
360,Fight Club,8.8
361,Forrest Gump,8.8
362,"The Good, the Bad and the Ugly",8.8
363,The Lord of the Rings: The Two Towers,8.8
364,12th Fail,8.8
365,Interstellar,8.7
366,The Matrix,8.7
367,Goodfellas,8.7
368,One Flew Over the Cuckoo's Nest,8.7
369,Star Wars: Episode V - The Empire Strikes Back,8.7
370,Jai Bhim,8.7
371,777 Charlie,8.7
372,Soorarai Pottru,8.7
373,Se7en,8.6
374,The Silence of the Lambs,8.6
375,The Shawshank Redemption,9.3
376,The Godfather,9.2
377,The Dark Knight,9.0
378,Schindler's List,9.0
379,12 Angry Men,9.0
380,The Lord of the Rings: The Return of the King,9.0
381,The Godfather Part II,9.0
382,Pulp Fiction,8.9
383,The Lord of the Rings: The Fellowship of the Ring,8.9
384,Inception,8.8
385,Fight Club,8.8
386,Forrest Gump,8.8
387,"The Good, the Bad and the Ugly",8.8
388,The Lord of the Rings: The Two Towers,8.8
389,12th Fail,8.8
390,Interstellar,8.7
391,The Matrix,8.7
392,Goodfellas,8.7
393,One Flew Over the Cuckoo's Nest,8.7
394,Star Wars: Episode V - The Empire Strikes Back,8.7
395,Jai Bhim,8.7
396,777 Charlie,8.7
397,Soorarai Pottru,8.7
398,Se7en,8.6
399,The Silence of the Lambs,8.6
400,The Shawshank Redemption,9.3
401,The Godfather,9.2
402,The Dark Knight,9.0
403,Schindler's List,9.0
404,12 Angry Men,9.0
405,The Lord of the Rings: The Return of the King,9.0
406,The Godfather Part II,9.0
407,Pulp Fiction,8.9
408,The Lord of the Rings: The Fellowship of the Ring,8.9
409,Inception,8.8
410,Fight Club,8.8
411,Forrest Gump,8.8
412,"The Good, the Bad and the Ugly",8.8
413,The Lord of the Rings: The Two Towers,8.8
414,12th Fail,8.8
415,Interstellar,8.7
416,The Matrix,8.7
417,Goodfellas,8.7
418,One Flew Over the Cuckoo's Nest,8.7
419,Star Wars: Episode V - The Empire Strikes Back,8.7
420,Jai Bhim,8.7
421,777 Charlie,8.7
422,Soorarai Pottru,8.7
423,Se7en,8.6
424,The Silence of the Lambs,8.6
425,The Shawshank Redemption,9.3
426,The Godfather,9.2
427,The Dark Knight,9.0
428,Schindler's List,9.0
429,12 Angry Men,9.0
430,The Lord of the Rings: The Return of the King,9.0
431,The Godfather Part II,9.0
432,Pulp Fiction,8.9
433,The Lord of the Rings: The Fellowship of the Ring,8.9
434,Inception,8.8
435,Fight Club,8.8
436,Forrest Gump,8.8
437,"The Good, the Bad and the Ugly",8.8
438,The Lord of the Rings: The Two Towers,8.8
439,12th Fail,8.8
440,Interstellar,8.7
441,The Matrix,8.7
442,Goodfellas,8.7
443,One Flew Over the Cuckoo's Nest,8.7
444,Star Wars: Episode V - The Empire Strikes Back,8.7
445,Jai Bhim,8.7
446,777 Charlie,8.7
447,Soorarai Pottru,8.7
448,Se7en,8.6
449,The Silence of the Lambs,8.6
450,The Shawshank Redemption,9.3
451,The Godfather,9.2
452,The Dark Knight,9.0
453,Schindler's List,9.0
454,12 Angry Men,9.0
455,The Lord of the Rings: The Return of the King,9.0
456,The Godfather Part II,9.0
457,Pulp Fiction,8.9
458,The Lord of the Rings: The Fellowship of the Ring,8.9
459,Inception,8.8
460,Fight Club,8.8
461,Forrest Gump,8.8
462,"The Good, the Bad and the Ugly",8.8
463,The Lord of the Rings: The Two Towers,8.8
464,12th Fail,8.8
465,Interstellar,8.7
466,The Matrix,8.7
467,Goodfellas,8.7
468,One Flew Over the Cuckoo's Nest,8.7
469,Star Wars: Episode V - The Empire Strikes Back,8.7
470,Jai Bhim,8.7
471,777 Charlie,8.7
472,Soorarai Pottru,8.7
473,Se7en,8.6
474,The Silence of the Lambs,8.6
475,The Shawshank Redemption,9.3
476,The Godfather,9.2
477,The Dark Knight,9.0
478,Schindler's List,9.0
479,12 Angry Men,9.0
480,The Lord of the Rings: The Return of the King,9.0
481,The Godfather Part II,9.0
482,Pulp Fiction,8.9
483,The Lord of the Rings: The Fellowship of the Ring,8.9
484,Inception,8.8
485,Fight Club,8.8
486,Forrest Gump,8.8
487,"The Good, the Bad and the Ugly",8.8
488,The Lord of the Rings: The Two Towers,8.8
489,12th Fail,8.8
490,Interstellar,8.7
491,The Matrix,8.7
492,Goodfellas,8.7
493,One Flew Over the Cuckoo's Nest,8.7
494,Star Wars: Episode V - The Empire Strikes Back,8.7
495,Jai Bhim,8.7
496,777 Charlie,8.7
497,Soorarai Pottru,8.7
498,Se7en,8.6
499,The Silence of the Lambs,8.6
